Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C13, C14, C15, C17, C19, C20, C33, C35, C37, C4, C8, C9",0402,15,0.1uF, C60474
"C11, C28, C29, C30, C31",0603,5,22uF, C59461
"C16, C18, C2, C21, C25, C3, C32, C34, C36, C7",0805,10,10uF,C15850
C22,C_Elec_10x10.2,1,100uF, C28241
"C23, C26, C5, C6",1210,4,100uF,C394395 
C27,C_Elec_10x10.2,1,1000uF, C189257
"D1, D10, D12, D2, D3, D4, D6, D7",D_SOD-123F,8,1N4001,C2892326
"D11, D13, D14, D16, D5, D8, D9",0805,7,LED,C2297
D15,D_SMA,1,SS54,C22452
"J1, J2, J3, J4","TerminalBlock_Phoenix_MKDS-1,5-12-5.08_1x12_P5.08mm_Horizontal",4,Screw_Terminal_01x12,
"J10, J12",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Socket,
"J11, J13",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05_Socket,
"J14, J15",TerminalBlock_bornier-8_P5.08mm,2,Screw_Terminal_01x08,
J5,USB_Micro-B_Molex-105017-0001,1,USB_B_Micro,C2972784
J6,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Socket,
J7,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Conn_01x03_Socket,
J8,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
J9,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Socket,
"JP5, JP7",SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,2,SolderJumper_3_Open,
JP9,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,SolderJumper_2_Open,
"K1, K2, K3, K5",Relay_SPDT_SANYOU_SRD_Series_Form_C,4,SANYOU_SRD_Form_C,C15840
L1,L_Chilisin_BMRF00101040,1,33uH,C408490
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",SOT-23-3,8,Q_NMOS_Depletion_GSD, C75882
"Q10, Q9",SOT-23,2,BSS138,C426569
"R1, R12, R6, R65, R9",0603,5,10K,C25804
"R10, R11, R13, R14, R16, R18, R19, R2, R21, R22, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R49, R5, R50, R51, R52, R53, R54, R55, R59, R60, R61, R67, R7, R8",0603,43,1K,C21190
"R15, R17, R20, R23",0603,4,2K,C22975
"R41, R45, R70, R74",0402,4,5.1K, C25905
"R42, R46, R71, R75, R76, R77, R78, R79",0402,8,4.7K,C25900
"R43, R47, R68, R72",0402,4,210K,C2686484
"R44, R48, R69, R73",0402,4,200K,C286555
"R56, R57, R62, R63",0805,4,20K,C163978
"R58, R64",0805,2,120,C2907224
R66,0603,1,40.2K,C12447
"SW1, SW2",SW_SPST_CK_RS282G05A3,2,SW_Push,C2689642
"U1, U10, U11, U12, U13, U14, U15, U16, U2, U3, U4, U5, U6, U7, U8, U9",APC-817xx-SL_AMB,16,PC817,C66405
U18,DGS0010A_L,1,ADS1115IDGS,C37593
U22,SOIC-8_3.9x4.9mm_P1.27mm,1,ISO1540,C179739
U23,ESP32-WROOM-32,1,ESP32-WROOM-32,C529577
U24,SOP-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
"U25, U26",SOP-8_3.9x4.9mm_P1.27mm,2,MAX485E,C481667
U27,SOT-23-6,1,TPL5010,C473912
U28,B_S-2WR2_MNS,1,B0505S-2WR3,C5369473
U29,TO-263-5_TabPin3,1,LM2596S-5,C347421
"U30, U31",SOT-223-3_TabPin2,2,AMS1117-3.3,C5199435
"U32, U33",SOIC-16_3.9x9.9mm_P1.27mm,2,74HC595,C5947
U34,SO-16_3.9x9.9mm_P1.27mm,1,74HC4051, C9386
